"('disposable', 'garment')"
"('garment', 'protector')"
"('protector', 'comprising')"
"('comprising', 'protector')"
"('protector', 'cover')"
"('cover', 'front')"
"('front', 'surface')"
"('surface', 'back')"
"('back', 'surface')"
"('surface', 'first')"
"('first', 'side')"
"('side', 'second')"
"('second', 'side')"
"('side', 'first')"
"('first', 'second')"
"('second', 'end')"
"('end', 'supported')"
"('supported', 'first')"
"('first', 'end')"
"('end', 'protector')"
"('protector', 'support')"
"('support', 'position')"
"('position', 'covering')"
"('covering', 'front')"
"('front', 'portion')"
"('portion', 'chest')"
"('chest', 'stomach')"
"('stomach', 'user')"
"('user', 'protector')"
"('protector', 'support')"
"('support', 'adapted')"
"('adapted', 'support')"
"('support', 'garment')"
"('garment', 'protector')"
"('protector', 'neck')"
"('neck', 'user')"
"('user', 'wherein')"
"('wherein', 'protector')"
"('protector', 'support')"
"('support', 'comprises')"
"('comprises', 'strap')"
"('strap', 'first')"
"('first', 'end')"
"('end', 'second')"
"('second', 'end')"
"('end', 'positioned')"
"('positioned', 'extend')"
"('extend', 'first')"
"('first', 'end')"
"('end', 'strap')"
"('strap', 'joined')"
"('joined', 'first')"
"('first', 'side')"
"('side', 'first')"
"('first', 'end')"
"('end', 'protector')"
"('protector', 'cover')"
"('cover', 'around')"
"('around', 'back')"
"('back', 'neck')"
"('neck', 'user')"
"('user', 'second')"
"('second', 'end')"
"('end', 'strip')"
"('strip', 'joined')"
"('joined', 'second')"
"('second', 'side')"
"('side', 'protector')"
"('protector', 'cover')"
"('cover', 'wherein')"
"('wherein', 'strap')"
"('strap', 'includes')"
"('includes', 'least')"
"('least', 'one')"
"('one', 'tearable')"
"('tearable', 'perforation')"
"('perforation', 'torn')"
"('torn', 'permits')"
"('permits', 'quick')"
"('quick', 'removal')"
"('removal', 'protector')"
"('protector', 'use')"
"('use', 'user')"
"('user', 'pouch')"
"('pouch', 'positioned')"
"('positioned', 'second')"
"('second', 'end')"
"('end', 'protector')"
"('protector', 'cover')"
"('cover', 'pouch')"
"('pouch', 'top')"
"('top', 'end')"
"('end', 'bottom')"
"('bottom', 'end')"
"('end', 'front')"
"('front', 'back')"
"('back', 'formed')"
"('formed', 'fold')"
"('fold', 'one')"
"('one', 'first')"
"('first', 'closed')"
"('closed', 'position')"
"('position', 'storage')"
"('storage', 'second')"
"('second', 'opened')"
"('opened', 'position')"
"('position', 'top')"
"('top', 'end')"
"('end', 'opened')"
"('opened', 'positioned')"
"('positioned', 'collect')"
"('collect', 'particulates')"
"('particulates', 'liquids')"
"('liquids', 'moving')"
"('moving', 'downwardly')"
"('downwardly', 'along')"
"('along', 'front')"
"('front', 'surface')"
"('surface', 'protector')"
"('protector', 'cover')"
"('cover', 'disposable')"
"('disposable', 'garment')"
"('garment', 'protector')"
"('protector', 'comprising')"
"('comprising', 'protector')"
