"('side', 'wall', 'inward')",1
"('elastic', 'permeable', 'material')",2
"('process', 'seat', 'comprising')",1
"('wherein', 'belt', 'comprises')",3
"('wall', 'inward', 'rim')",1
"('side', 'wall', 'meets')",1
"('removably', 'attached', 'side')",1
"('forth', 'claim', 'wherein')",10
"('wall', 'meets', 'upper')",1
"('material', 'seat', 'set')",4
"('side', 'wall', 'includes')",1
"('wherein', 'bottom', 'side')",2
"('rubber', 'synthetic', 'foam')",1
"('material', 'least', 'one')",1
"('polystyrene', 'balls', 'seat')",1
"('seat', 'envelope', 'type')",1
"('comprising', 'least', 'one')",1
"('upper', 'walls', 'wherein')",2
"('inward', 'rim', 'located')",1
"('wall', 'impermeable', 'made')",2
"('containing', 'incompressible', 'filling')",1
"('wherein', 'incompressible', 'filling')",1
"('incompressible', 'filling', 'pieces')",4
"('rim', 'made', 'material')",1
"('claim', 'wherein', 'side')",2
"('comprising', 'upper', 'wall')",1
"('envelope', 'containing', 'incompressible')",1
"('least', 'portion', 'upper')",2
"('type', 'comprising', 'upper')",1
"('attached', 'side', 'wall')",1
"('side', 'upper', 'walls')",4
"('upper', 'wall', 'seat')",1
"('joined', 'together', 'sewing')",1
"('wherein', 'bottom', 'wall')",3
"('together', 'sewing', 'process')",1
"('form', 'envelope', 'containing')",1
"('inextensible', 'material', 'seat')",2
"('material', 'side', 'wall')",1
"('bottom', 'side', 'upper')",4
"('wall', 'sheet', 'inextensible')",2
"('rigid', 'panel', 'seat')",1
"('including', 'upper', 'wall')",1
"('made', 'material', 'side')",1
"('homogenous', 'material', 'seat')",1
"('filling', 'pieces', 'occupying')",2
"('claim', 'wherein', 'belt')",3
"('one', 'belt', 'removably')",1
"('selected', 'group', 'consisting')",1
"('semirigid', 'material', 'least')",2
"('claim', 'wherein', 'homogenous')",1
"('rigid', 'semirigid', 'material')",2
"('made', 'elastic', 'permeable')",2
"('belt', 'comprises', 'ring')",1
"('side', 'wall', 'seat')",1
"('filling', 'pieces', 'comprise')",1
"('pieces', 'seat', 'set')",1
"('upper', 'wall', 'made')",2
"('comprises', 'inflatable', 'ring')",1
"('belt', 'comprises', 'inflatable')",1
"('wall', 'seat', 'set')",2
"('defined', 'bottom', 'side')",2
"('seat', 'set', 'forth')",10
"('consisting', 'rubber', 'synthetic')",1
"('upper', 'walls', 'joined')",2
"('joined', 'together', 'form')",1
"('set', 'forth', 'claim')",10
"('bottom', 'wall', 'side')",4
"('one', 'envelope', 'including')",1
"('group', 'consisting', 'rubber')",1
"('ring', 'homogenous', 'material')",1
"('material', 'selected', 'group')",1
"('comprises', 'ring', 'homogenous')",1
"('occupying', 'space', 'defined')",2
"('wall', 'side', 'wall')",4
"('least', 'one', 'belt')",1
"('belt', 'comprises', 'rigid')",1
"('envelope', 'including', 'upper')",1
"('wall', 'made', 'elastic')",2
"('comprises', 'rigid', 'panel')",1
"('side', 'wall', 'impermeable')",2
"('sheet', 'inextensible', 'material')",2
"('located', 'side', 'wall')",1
"('material', 'least', 'portion')",2
"('rim', 'located', 'side')",1
"('upper', 'wall', 'bottom')",2
"('permeable', 'material', 'seat')",1
"('side', 'wall', 'sheet')",1
"('wherein', 'homogenous', 'material')",1
"('wall', 'bottom', 'wall')",2
"('panel', 'seat', 'set')",1
"('seat', 'comprising', 'least')",1
"('made', 'rigid', 'semirigid')",2
"('meets', 'upper', 'wall')",1
"('sewing', 'process', 'seat')",1
"('bottom', 'wall', 'sheet')",1
"('homogenous', 'material', 'selected')",1
"('claim', 'wherein', 'bottom')",3
"('belt', 'removably', 'attached')",1
"('walls', 'joined', 'together')",2
"('space', 'defined', 'bottom')",2
"('balls', 'seat', 'set')",1
"('foam', 'seat', 'set')",1
"('envelope', 'type', 'comprising')",1
"('walls', 'wherein', 'bottom')",2
"('permeable', 'material', 'least')",1
"('together', 'form', 'envelope')",1
"('portion', 'upper', 'wall')",2
"('comprise', 'polystyrene', 'balls')",1
"('side', 'wall', 'incompressible')",2
"('pieces', 'occupying', 'space')",2
"('impermeable', 'made', 'rigid')",2
"('wall', 'includes', 'inward')",1
"('wall', 'incompressible', 'filling')",2
"('least', 'one', 'envelope')",1
"('inward', 'rim', 'made')",1
"('includes', 'inward', 'rim')",1
"('wherein', 'side', 'wall')",2
"('pieces', 'comprise', 'polystyrene')",1
"('claim', 'wherein', 'incompressible')",1
"('filling', 'pieces', 'seat')",1
"('synthetic', 'foam', 'seat')",1
